epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.91,1.01484,2.57384,1.26667,0.75941,0.25345,0.41475,0.27528,1.15758,2.78824,1.29312,0.000363836,0.000363836,0.000363836
2,798.958,1.0187,1.65753,1.2305,0.45314,0.49853,0.44448,0.283,1.2611,2.42172,1.38556,0.000709942,0.000709942,0.000709942
3,1176.46,1.06155,1.46654,1.24596,0.66144,0.57299,0.6035,0.37696,1.31923,2.1522,1.4293,0.00103161,0.00103161,0.00103161
4,1527.67,1.06745,1.42548,1.24513,0.65615,0.52432,0.55178,0.34798,1.3194,1.96605,1.40244,0.00100101,0.00100101,0.00100101
5,1874.44,1.01678,1.35286,1.2213,0.57906,0.69157,0.67125,0.42504,1.23587,1.49263,1.36066,0.000964348,0.000964348,0.000964348
6,2222.49,1.02789,1.29275,1.24062,0.68485,0.6441,0.69939,0.46958,1.16986,1.37399,1.25231,0.000927685,0.000927685,0.000927685
7,2569.18,0.98674,1.23616,1.22282,0.66362,0.76121,0.7442,0.50395,1.15511,1.23968,1.2746,0.000891022,0.000891022,0.000891022
8,2942.72,0.9708,1.12447,1.19455,0.69454,0.71164,0.72194,0.47622,1.20474,1.22212,1.30229,0.000854359,0.000854359,0.000854359
9,3332.98,0.97017,1.07678,1.19747,0.71803,0.63141,0.71302,0.47814,1.14612,1.20383,1.26217,0.000817696,0.000817696,0.000817696
10,3708.85,0.91877,1.04471,1.17171,0.70652,0.7139,0.76675,0.5113,1.15332,1.15471,1.28854,0.000781033,0.000781033,0.000781033
11,4104.15,0.92188,1.00127,1.17271,0.69076,0.73289,0.79187,0.54005,1.1157,1.07779,1.25088,0.00074437,0.00074437,0.00074437
